,Город,Регион,Федеральный округ,lat,lng
80,Белогорск,Амурская область,Дальневосточный,"50,921287","128,473917"
102,Благовещенск,Амурская область,Дальневосточный,"50,28702","127,541025"
284,Завитинск,Амурская область,Дальневосточный,"50,106518","129,439309"
307,Зея,Амурская область,Дальневосточный,"53,734033","127,265889"
776,Райчихинск,Амурская область,Дальневосточный,"49,794114","129,411255"
819,Свободный,Амурская область,Дальневосточный,"51,375889","128,134147"
842,Сковородино,Амурская область,Дальневосточный,"53,987177","123,943632"
952,Тында,Амурская область,Дальневосточный,"55,154656","124,729236"
1044,Шимановск,Амурская область,Дальневосточный,"51,85262","116,032735"
97,Биробиджан,Еврейская АО,Дальневосточный,"48,794668","132,921754"
677,Облучье,Еврейская АО,Дальневосточный,"49,018898","131,053914"
156,Вилючинск,Камчатский край,Дальневосточный,"52,906857","158,418296"
265,Елизово,Камчатский край,Дальневосточный,"53,183053","158,388355"
727,Петропавловск-Камчатский,Камчатский край,Дальневосточный,"53,024075","158,643566"
533,Магадан,Магаданская область,Дальневосточный,"59,568164","150,808541"
903,Сусуман,Магаданская область,Дальневосточный,"62,780464","148,153687"
39,Арсеньев,Приморский край,Дальневосточный,"44,162084","133,269726"
41,Артём,Приморский край,Дальневосточный,"43,354804","132,18563"
116,БольшойКамень,Приморский край,Дальневосточный,"53,443097","36,005087"
159,Владивосток,Приморский край,Дальневосточный,"43,115536","131,885485"
230,Дальнегорск,Приморский край,Дальневосточный,"44,554018","135,566179"
231,Дальнереченск,Приморский край,Дальневосточный,"45,93085","133,731738"
509,Лесозаводск,Приморский край,Дальневосточный,"45,477955","133,418594"
608,Находка,Приморский край,Дальневосточный,"42,824037","132,892811"
714,Партизанск,Приморский край,Дальневосточный,"43,119813","133,123246"
877,Спасск-Дальний,Приморский край,Дальневосточный,"44,597641","132,817559"
975,Уссурийск,Приморский край,Дальневосточный,"43,797273","131,95178"
988,Фокино,Приморский край,Дальневосточный,"53,455436","34,415923"
18,Александровск-Сахалинский,Сахалинская область,Дальневосточный,"50,894564","142,1594"
29,Анива,Сахалинская область,Дальневосточный,"46,713168","142,526595"
250,Долинск,Сахалинская область,Дальневосточный,"47,32624","142,79344"
433,Корсаков,Сахалинская область,Дальневосточный,"46,63498","142,78257"
483,Курильск,Сахалинская область,Дальневосточный,"45,225174","147,883761"
538,Макаров,Сахалинская область,Дальневосточный,"48,625101","142,778851"
610,Невельск,Сахалинская область,Дальневосточный,"46,652828","141,863126"
707,Оха,Сахалинская область,Дальневосточный,"53,584521","142,947186"
748,Поронайск,Сахалинская область,Дальневосточный,"49,22038","143,08956"
821,Северо-Курильск,Сахалинская область,Дальневосточный,"50,676327","156,124106"
935,Томари,Сахалинская область,Дальневосточный,"47,762214","142,061627"
957,Углегорск,Сахалинская область,Дальневосточный,"49,081575","142,069281"
1002,Холмск,Сахалинская область,Дальневосточный,"47,040905","142,041622"
1063,Южно-Сахалинск,Сахалинская область,Дальневосточный,"46,959155","142,738023"
23,Амурск,Хабаровский край,Дальневосточный,"50,226797","136,910607"
95,Бикин,Хабаровский край,Дальневосточный,"46,818592","134,255034"
187,Вяземский,Хабаровский край,Дальневосточный,"47,535352","134,755297"
422,Комсомольск-на-Амуре,Хабаровский край,Дальневосточный,"50,549923","137,007948"
634,Николаевск-на-Амуре,Хабаровский край,Дальневосточный,"53,146143","140,711046"
857,СоветскаяГавань,Хабаровский край,Дальневосточный,"57,587599","48,959521"
992,Хабаровск,Хабаровский край,Дальневосточный,"48,480223","135,071917"
24,Анадырь,Чукотский АО,Дальневосточный,"64,733115","177,508924"
96,Билибино,Чукотский АО,Дальневосточный,"68,057129","166,451139"
715,Певек,Чукотский АО,Дальневосточный,"69,701761","170,299935"
14,Алдан,Якутия,Дальневосточный,"58,609451","125,381673"
151,Верхоянск,Якутия,Дальневосточный,"67,550161","133,390702"
155,Вилюйск,Якутия,Дальневосточный,"63,751722","121,627326"
507,Ленск,Якутия,Дальневосточный,"60,713731","114,911844"
572,Мирный,Якутия,Дальневосточный,"62,541028","113,978692"
617,Нерюнгри,Якутия,Дальневосточный,"56,659948","124,720315"
673,Нюрба,Якутия,Дальневосточный,"63,278463","118,336617"
688,Олёкминск,Якутия,Дальневосточный,"60,375796","120,406013"
742,Покровск,Якутия,Дальневосточный,"61,48424","129,148219"
879,Среднеколымск,Якутия,Дальневосточный,"67,458183","153,707009"
936,Томмот,Якутия,Дальневосточный,"58,958666","126,287579"
959,Удачный,Якутия,Дальневосточный,"66,406995","112,306362"
1072,Якутск,Якутия,Дальневосточный,"62,028103","129,732663"
4,Агидель,Башкортостан,Приволжский,"55,899835","53,92204"
57,Баймак,Башкортостан,Приволжский,"52,591257","58,311199"
76,Белебей,Башкортостан,Приволжский,"54,103441","54,111279"
84,Белорецк,Башкортостан,Приволжский,"53,967621","58,410023"
98,Бирск,Башкортостан,Приволжский,"55,417531","55,530707"
101,Благовещенск,Башкортостан,Приволжский,"50,28702","127,541025"
227,Давлеканово,Башкортостан,Приволжский,"54,222727","55,03127"
259,Дюртюли,Башкортостан,Приволжский,"55,48529","54,873463"
335,Ишимбай,Башкортостан,Приволжский,"53,454621","56,04395"
478,Кумертау,Башкортостан,Приволжский,"52,756523","55,796976"
558,Межгорье,Башкортостан,Приволжский,"54,239989","57,961225"
562,Мелеуз,Башкортостан,Приволжский,"52,958964","55,92831"
620,Нефтекамск,Башкортостан,Приволжский,"56,088408","54,248236"
686,Октябрьский,Башкортостан,Приволжский,"54,481448","53,46557"
799,Салават,Башкортостан,Приволжский,"53,361651","55,924672"
840,Сибай,Башкортостан,Приволжский,"52,72051","58,666429"
889,Стерлитамак,Башкортостан,Приволжский,"53,630403","55,930825"
947,Туймазы,Башкортостан,Приволжский,"54,599988","53,695008"
982,Уфа,Башкортостан,Приволжский,"54,735147","55,958727"
984,Учалы,Башкортостан,Приволжский,"54,319176","59,378631"
1074,Янаул,Башкортостан,Приволжский,"56,264957","54,929824"
74,БелаяХолуница,Кировская область,Приволжский,"57,78567","36,693871"
190,ВятскиеПоляны,Кировская область,Приволжский,"55,205944","34,298037"
314,Зуевка,Кировская область,Приволжский,"58,403217","51,133426"
396,Киров,Кировская область,Приволжский,"58,603581","49,667978"
398,Кирово-Чепецк,Кировская область,Приволжский,"58,556581","50,043932"
401,Кирс,Кировская область,Приволжский,"59,339987","52,241516"
440,Котельнич,Кировская область,Приволжский,"58,303426","48,347508"
521,Луза,Кировская область,Приволжский,"60,629099","47,261229"
543,Малмыж,Кировская область,Приволжский,"56,524461","50,678232"
